dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
processed,101,23,2,0,0,0,0,0,0,1,0,0
processed,998,205,10,0,0,0,0,0,0,0,21,0
processed,758,147,6,0,0,0,0,0,0,1,6,0
processed,313,61,8,0,0,0,0,0,0,0,9,0
processed,572,108,9,0,0,0,0,0,0,0,4,0
processed,202,35,1,0,0,0,0,0,1,0,2,0
processed,151,34,2,0,0,0,0,0,0,0,1,0
processed,548,116,7,0,0,0,0,0,0,2,4,0
processed,225,43,3,0,0,0,0,0,0,1,6,0
processed,125,25,2,0,0,0,0,0,0,0,1,0
processed,361,67,4,0,0,0,0,0,0,0,5,0
processed,83,10,1,0,0,0,0,0,0,0,0,0
processed,81,16,1,1,0,0,0,0,0,1,1,0
processed,658,146,4,0,0,0,0,0,0,0,7,0
processed,217,44,5,0,0,0,0,0,0,1,3,0
processed,589,114,3,0,0,0,0,0,0,0,11,0
processed,143,23,3,0,0,0,0,0,0,0,0,0
processed,766,152,16,0,0,0,0,0,0,1,7,0
processed,749,151,8,0,0,0,0,0,0,1,12,0
processed,234,44,6,0,0,0,0,0,0,0,3,0
processed,103,21,1,0,0,0,0,0,0,0,4,0
processed,206,43,3,0,0,0,0,0,0,0,4,1
processed,15,3,1,0,0,0,0,0,0,0,0,0
processed,527,106,4,0,0,0,0,0,0,0,7,0
processed,265,48,4,0,0,0,0,0,0,0,4,0
processed,544,111,13,0,0,0,0,0,0,0,8,0
processed,102,23,1,0,0,0,0,0,0,0,6,0
processed,429,81,5,0,0,0,0,0,0,0,6,0
processed,14,3,1,0,0,0,0,0,0,0,0,0
processed,929,172,7,0,0,0,0,0,0,0,13,0
processed,122,20,1,0,0,0,0,0,0,0,0,0
processed,2255,457,13,0,0,0,0,0,0,6,17,0
processed,92,20,1,0,0,0,0,0,0,0,0,0
processed,364,74,1,1,0,0,0,0,0,1,6,0
processed,206,36,3,0,0,0,0,0,0,0,2,0
processed,65,10,1,0,0,0,0,0,0,0,1,0
processed,122,31,3,0,0,0,0,0,0,1,2,0
processed,7,2,1,0,0,0,0,0,0,0,1,0
processed,36,6,1,0,0,0,0,0,0,0,1,0
processed,447,100,8,0,0,0,0,0,0,0,12,0
processed,182,35,2,0,0,0,0,0,0,1,2,0
processed,718,138,7,0,0,0,0,0,0,0,10,0
processed,155,26,3,0,0,0,0,0,0,0,3,0
processed,271,48,3,0,0,0,0,0,0,0,3,0
