dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
raw,428,100,7,0,0,0,0,0,1,0,14,1
raw,307,70,7,0,0,0,0,0,0,5,13,1
raw,409,79,6,0,0,0,0,0,0,1,9,1
raw,550,137,10,0,0,0,0,0,1,2,16,1
raw,107,25,3,0,1,0,0,0,1,0,5,4
raw,714,143,7,0,0,0,0,0,0,0,15,4
raw,351,76,4,0,0,0,0,0,0,2,14,0
raw,557,131,8,0,1,0,0,0,2,5,21,1
raw,175,44,3,0,0,0,0,0,2,0,5,0
raw,277,57,2,0,0,0,0,0,0,0,6,1
raw,226,52,3,0,0,0,0,0,0,0,9,3
raw,131,29,2,0,0,0,0,0,0,1,3,0
raw,311,71,5,0,0,0,0,0,0,5,19,0
raw,117,24,1,0,0,0,0,0,0,0,0,0
raw,283,67,5,0,0,0,0,0,0,0,14,0
raw,849,165,3,0,0,0,0,0,0,0,23,6
raw,746,156,9,2,1,0,0,0,2,1,27,0
raw,95,21,3,1,0,0,0,0,0,0,3,0
raw,503,115,8,0,1,0,0,0,0,0,11,4
raw,452,106,3,2,0,0,0,0,1,2,13,3
raw,549,127,7,0,0,0,0,0,0,0,18,3
raw,388,88,4,0,1,0,0,0,0,0,8,0
raw,474,111,3,1,1,0,0,0,2,6,6,2
raw,766,165,2,6,0,0,0,0,2,0,22,11
raw,479,120,11,0,0,0,0,0,0,0,14,3
raw,261,55,1,2,0,0,0,0,1,0,15,1
raw,494,101,4,0,0,0,0,0,0,0,15,8
raw,582,129,5,0,0,0,0,0,1,1,11,7
raw,178,44,2,1,0,0,0,0,0,2,4,0
raw,883,196,13,0,3,0,0,0,0,4,30,5
raw,36,11,1,1,0,0,0,0,0,0,2,1
raw,1247,299,16,0,0,0,0,0,1,0,46,2
raw,22,4,1,0,0,0,0,0,0,0,0,0
raw,333,77,1,0,0,0,0,0,0,0,9,0
raw,331,73,1,0,1,0,0,0,1,1,17,0
raw,433,90,7,0,0,0,0,0,0,0,19,6
raw,40,8,1,0,0,0,0,0,0,0,2,0
raw,92,21,1,0,0,0,0,0,0,0,1,0
raw,380,94,6,0,0,0,0,0,1,0,8,1
raw,731,157,2,0,7,0,0,0,8,5,31,2
raw,472,108,11,0,0,0,0,0,0,0,19,1
raw,232,57,3,0,0,0,0,0,0,0,6,1
raw,128,24,2,0,0,0,0,0,0,0,1,1
raw,823,173,14,1,0,0,0,0,0,1,130,0
raw,10,3,1,0,0,0,0,0,0,0,1,0
raw,239,52,4,0,0,0,0,0,0,0,3,2
raw,206,48,3,3,0,0,0,0,1,1,9,0
raw,430,91,3,0,0,0,0,0,0,4,14,3
raw,896,202,10,1,3,0,0,0,0,0,19,1
raw,679,132,2,3,0,0,0,0,1,2,21,5
raw,160,41,1,1,0,0,0,0,0,1,13,0
raw,370,68,1,0,1,0,0,0,0,1,39,0
raw,210,62,2,0,0,0,0,0,5,1,4,1
raw,501,107,6,0,0,0,0,0,0,2,9,1
raw,347,83,8,1,0,0,0,0,0,0,8,2
raw,204,50,4,0,0,0,0,0,0,1,2,4
raw,138,36,5,0,0,0,0,0,0,0,7,0
raw,226,53,3,3,0,0,0,0,1,0,5,1
raw,5,1,1,0,0,0,0,0,0,0,0,0
raw,220,50,5,0,0,0,0,0,0,0,7,3
raw,124,27,4,1,0,0,0,0,0,0,6,0
raw,475,100,5,0,0,0,0,0,1,0,29,0
raw,180,38,4,0,0,0,0,0,0,0,6,1
raw,34,8,1,0,0,0,0,0,0,0,1,0
raw,9,2,1,0,0,0,0,0,0,0,1,0
raw,765,163,2,8,0,0,0,0,1,2,27,0
raw,314,63,2,0,0,0,0,0,0,0,10,0
raw,457,101,5,1,0,0,0,0,0,0,13,4
raw,1092,252,16,0,0,0,0,0,3,6,34,5
raw,306,73,7,0,1,0,0,0,1,2,13,1
raw,183,43,4,0,0,0,0,0,0,0,4,0
raw,631,144,11,3,0,0,0,0,2,1,25,4
raw,201,50,6,0,0,0,0,0,0,2,4,2
raw,157,33,1,0,0,0,0,0,0,1,8,0
raw,40,7,1,0,0,0,0,0,0,0,0,0
raw,93,25,1,0,0,0,0,0,0,0,4,0
raw,30,6,1,0,0,0,0,0,0,0,0,0
raw,412,101,3,3,0,0,0,0,1,4,17,0
raw,222,48,5,0,0,0,0,0,0,0,4,2
raw,73,19,1,0,1,0,0,0,0,0,3,1
raw,514,114,5,0,4,0,0,0,0,0,11,3
raw,479,108,9,0,0,0,0,0,0,0,13,3
raw,406,88,4,0,1,0,0,0,0,1,6,3
raw,284,67,4,0,0,0,0,0,0,0,6,2
raw,104,19,2,0,0,0,0,0,0,0,3,0
raw,460,107,6,0,0,0,0,0,0,0,21,1
raw,560,144,8,1,0,0,0,0,0,2,17,0
raw,56,11,1,0,0,0,0,0,0,0,0,1
raw,190,45,2,0,0,0,0,0,0,3,9,2
raw,1132,250,1,1,2,0,0,0,2,2,28,6
raw,468,96,1,0,1,0,0,0,0,1,8,2
raw,108,23,2,1,0,0,0,0,1,0,2,2
raw,129,29,2,0,0,0,0,0,0,0,5,0
raw,326,81,10,0,0,0,0,0,0,2,12,2
